2026-04-04 16:06:52 | INFO     | DataPreprocessor     | Démarrage du prétraitement des données...
2026-04-04 16:06:52 | INFO     | DataPreprocessor     | Prétraitement de AAPL...
2026-04-04 16:06:52 | INFO     | DataPreprocessor     |   AAPL : prétraitement terminé (799 lignes) ✓
2026-04-04 16:06:52 | INFO     | DataPreprocessor     | Prétraitement de BTC-USD...
2026-04-04 16:06:52 | INFO     | DataPreprocessor     |   BTC-USD : prétraitement terminé (799 lignes) ✓
2026-04-04 16:06:52 | INFO     | DataPreprocessor     | Prétraitement de GC=F...
2026-04-04 16:06:52 | INFO     | DataPreprocessor     |   GC=F : prétraitement terminé (799 lignes) ✓
2026-04-04 16:06:52 | INFO     | DataPreprocessor     | Alignement des dates : 2023-03-14 → 2026-04-03
2026-04-04 16:06:52 | INFO     | DataPreprocessor     | Prétraitement terminé : 3 actifs traités
2026-04-04 16:06:52 | INFO     | FeatureEngineer      | Ingénierie des features pour AAPL…
2026-04-04 16:06:52 | DEBUG    | TechnicalFeatures    | Indicateurs techniques calculés : 26 colonnes
2026-04-04 16:06:53 | DEBUG    | StatisticalFeatures  | Features statistiques calculées : 45 colonnes
2026-04-04 16:06:53 | DEBUG    | MicrostructureFeatures | Features microstructure calculées : 56 colonnes
2026-04-04 16:06:53 | INFO     | FeatureEngineer      |   AAPL : 50 features calculées sur 589 lignes ✓
2026-04-04 16:06:53 | INFO     | FeatureEngineer      | Ingénierie des features pour BTC-USD…
2026-04-04 16:06:53 | DEBUG    | TechnicalFeatures    | Indicateurs techniques calculés : 26 colonnes
2026-04-04 16:06:55 | DEBUG    | StatisticalFeatures  | Features statistiques calculées : 45 colonnes
2026-04-04 16:06:55 | DEBUG    | MicrostructureFeatures | Features microstructure calculées : 56 colonnes
2026-04-04 16:06:55 | INFO     | FeatureEngineer      |   BTC-USD : 50 features calculées sur 589 lignes ✓
2026-04-04 16:06:55 | INFO     | FeatureEngineer      | Ingénierie des features pour GC=F…
2026-04-04 16:06:55 | DEBUG    | TechnicalFeatures    | Indicateurs techniques calculés : 26 colonnes
2026-04-04 16:06:56 | DEBUG    | StatisticalFeatures  | Features statistiques calculées : 45 colonnes
2026-04-04 16:06:56 | DEBUG    | MicrostructureFeatures | Features microstructure calculées : 56 colonnes
2026-04-04 16:06:56 | INFO     | FeatureEngineer      |   GC=F : 50 features calculées sur 589 lignes ✓
2026-04-04 16:06:56 | INFO     | RegimeDetector       | Entraînement du détecteur de régimes (4 régimes)…
2026-04-04 16:06:56 | INFO     | RegimeDetector       | Modèle HMM (Gaussian) entraîné ✓
2026-04-04 16:06:56 | INFO     | RegimeDetector       | ───────────────────────────────────────────────────────
2026-04-04 16:06:56 | INFO     | RegimeDetector       | RÉGIMES APPRIS PAR LE MODÈLE :
2026-04-04 16:06:56 | INFO     | RegimeDetector       | Régime           % Temps  Rendement/j   Volatilité
2026-04-04 16:06:56 | INFO     | RegimeDetector       | ───────────────────────────────────────────────────────
2026-04-04 16:06:56 | INFO     | RegimeDetector       |   Régime 0 (BULL    )   35.7%      -0.080%        20.3%
2026-04-04 16:06:56 | INFO     | RegimeDetector       |   Régime 1 (BEAR    )   30.2%      +0.318%        19.9%
2026-04-04 16:06:56 | INFO     | RegimeDetector       |   Régime 2 (RANGE   )   31.4%      -0.253%        22.3%
2026-04-04 16:06:56 | INFO     | RegimeDetector       |   Régime 3 (HIGH_VOL)    2.7%      +0.388%         0.0%
2026-04-04 16:06:56 | INFO     | RegimeDetector       | ───────────────────────────────────────────────────────
2026-04-04 16:06:56 | INFO     | RegimeDetector       | Entraînement du détecteur de régimes (4 régimes)…
2026-04-04 16:06:56 | INFO     | RegimeDetector       | Modèle HMM (Gaussian) entraîné ✓
2026-04-04 16:06:56 | INFO     | RegimeDetector       | ───────────────────────────────────────────────────────
2026-04-04 16:06:56 | INFO     | RegimeDetector       | RÉGIMES APPRIS PAR LE MODÈLE :
2026-04-04 16:06:56 | INFO     | RegimeDetector       | Régime           % Temps  Rendement/j   Volatilité
2026-04-04 16:06:56 | INFO     | RegimeDetector       | ───────────────────────────────────────────────────────
2026-04-04 16:06:56 | INFO     | RegimeDetector       |   Régime 0 (BULL    )    2.7%      +1.246%         0.0%
2026-04-04 16:06:56 | INFO     | RegimeDetector       |   Régime 1 (BEAR    )   31.4%      -0.727%        68.5%
2026-04-04 16:06:56 | INFO     | RegimeDetector       |   Régime 2 (RANGE   )   30.2%      +1.030%        61.3%
2026-04-04 16:06:56 | INFO     | RegimeDetector       |   Régime 3 (HIGH_VOL)   35.7%      -0.194%        62.5%
2026-04-04 16:06:56 | INFO     | RegimeDetector       | ───────────────────────────────────────────────────────
2026-04-04 16:06:56 | INFO     | RegimeDetector       | Entraînement du détecteur de régimes (4 régimes)…
2026-04-04 16:06:56 | INFO     | RegimeDetector       | Modèle HMM (Gaussian) entraîné ✓
2026-04-04 16:06:56 | INFO     | RegimeDetector       | ───────────────────────────────────────────────────────
2026-04-04 16:06:56 | INFO     | RegimeDetector       | RÉGIMES APPRIS PAR LE MODÈLE :
2026-04-04 16:06:56 | INFO     | RegimeDetector       | Régime           % Temps  Rendement/j   Volatilité
2026-04-04 16:06:56 | INFO     | RegimeDetector       | ───────────────────────────────────────────────────────
2026-04-04 16:06:56 | INFO     | RegimeDetector       |   Régime 0 (BULL    )   35.7%      -0.050%        10.9%
2026-04-04 16:06:56 | INFO     | RegimeDetector       |   Régime 1 (BEAR    )   30.2%      +0.164%        10.7%
2026-04-04 16:06:56 | INFO     | RegimeDetector       |   Régime 2 (RANGE   )   31.4%      -0.143%        12.0%
2026-04-04 16:06:56 | INFO     | RegimeDetector       |   Régime 3 (HIGH_VOL)    2.7%      +0.202%         0.0%
2026-04-04 16:06:56 | INFO     | RegimeDetector       | ───────────────────────────────────────────────────────
2026-04-04 16:06:56 | INFO     | PredictionModel      | Entraînement sur : cpu
2026-04-04 16:06:57 | INFO     | PredictionModel      | Début de l'entraînement (50 époques max)…
2026-04-04 16:06:57 | INFO     | PredictionModel      | Paramètres : 1,031,650
2026-04-04 16:07:00 | INFO     | PredictionModel      |   Époque   1/50 | Train=2.8513 | Val=0.0000 | Patience=0/15
2026-04-04 16:07:16 | INFO     | PredictionModel      |   Époque  10/50 | Train=-1.4970 | Val=0.0000 | Patience=9/15
2026-04-04 16:07:25 | INFO     | PredictionModel      | Early stopping à l'époque 16 ✓
2026-04-04 16:07:25 | INFO     | PredictionModel      | Meilleur modèle rechargé (val_loss=0.0000) ✓
2026-04-04 16:07:25 | INFO     | PredictionModel      | Entraînement sur : cpu
2026-04-04 16:07:25 | INFO     | PredictionModel      | Début de l'entraînement (50 époques max)…
2026-04-04 16:07:25 | INFO     | PredictionModel      | Paramètres : 1,031,650
2026-04-04 16:07:27 | INFO     | PredictionModel      |   Époque   1/50 | Train=1.1627 | Val=0.0000 | Patience=0/15
2026-04-04 16:07:40 | INFO     | PredictionModel      |   Époque  10/50 | Train=-1.1533 | Val=0.0000 | Patience=9/15
2026-04-04 16:07:48 | INFO     | PredictionModel      | Early stopping à l'époque 16 ✓
2026-04-04 16:07:48 | INFO     | PredictionModel      | Meilleur modèle rechargé (val_loss=0.0000) ✓
2026-04-04 16:07:48 | INFO     | PredictionModel      | Entraînement sur : cpu
2026-04-04 16:07:48 | INFO     | PredictionModel      | Début de l'entraînement (50 époques max)…
2026-04-04 16:07:48 | INFO     | PredictionModel      | Paramètres : 1,031,650
2026-04-04 16:07:50 | INFO     | PredictionModel      |   Époque   1/50 | Train=1.0497 | Val=0.0000 | Patience=0/15
2026-04-04 16:08:05 | INFO     | PredictionModel      |   Époque  10/50 | Train=-1.3483 | Val=0.0000 | Patience=9/15
2026-04-04 16:08:18 | INFO     | PredictionModel      | Early stopping à l'époque 16 ✓
2026-04-04 16:08:18 | INFO     | PredictionModel      | Meilleur modèle rechargé (val_loss=0.0000) ✓
2026-04-04 16:08:18 | INFO     | RLAgent              | Agent PPO construit ✓
2026-04-04 16:08:18 | INFO     | RLAgent              | Entraînement de l'agent RL sur 50,000 pas…
2026-04-04 16:08:18 | INFO     | RLAgent              | Agent PPO construit ✓
2026-04-04 16:08:18 | INFO     | RLAgent              | Entraînement de l'agent RL sur 50,000 pas…
2026-04-04 16:08:18 | INFO     | Backtester           | Démarrage du backtesting : AAPL
2026-04-04 16:08:18 | INFO     | Backtester           | Période : 2025-12-02 → 2026-04-03
2026-04-04 16:08:18 | INFO     | Backtester           | ============================================================
2026-04-04 16:08:18 | INFO     | Backtester           | RAPPORT DE BACKTESTING : AAPL
2026-04-04 16:08:18 | INFO     | Backtester           | ============================================================
2026-04-04 16:08:18 | INFO     | Backtester           |   symbol                : AAPL
2026-04-04 16:08:18 | INFO     | Backtester           |   période               : 2025-12-02 → 2026-04-03
2026-04-04 16:08:18 | INFO     | Backtester           |   capital_initial       : 100,000$
2026-04-04 16:08:18 | INFO     | Backtester           |   capital_final         : 100,000$
2026-04-04 16:08:18 | INFO     | Backtester           |   rendement_total       : +0.0%
2026-04-04 16:08:18 | INFO     | Backtester           |   sharpe_ratio          : 0.0
2026-04-04 16:08:18 | INFO     | Backtester           |   sortino_ratio         : -50.0
2026-04-04 16:08:18 | INFO     | Backtester           |   max_drawdown          : 0.0%
2026-04-04 16:08:18 | INFO     | Backtester           |   volatilité            : 0.0%
2026-04-04 16:08:18 | INFO     | Backtester           |   cagr                  : 0.0%
2026-04-04 16:08:18 | INFO     | Backtester           |   total_trades          : 0
2026-04-04 16:08:18 | INFO     | Backtester           |   win_rate              : 0.0%
2026-04-04 16:08:18 | INFO     | Backtester           |   profit_factor         : 0.0
2026-04-04 16:08:18 | INFO     | Backtester           |   benchmark             : +8.2%
2026-04-04 16:08:18 | INFO     | Backtester           |   alpha                 : -8.2%
2026-04-04 16:08:18 | INFO     | Backtester           | ============================================================
2026-04-04 16:08:18 | INFO     | Backtester           |   CRITÈRES RÉUSSIS (1/4) :
2026-04-04 16:08:18 | INFO     | Backtester           |     ✓ MaxDD ≥ -20% (0.0%)
2026-04-04 16:08:18 | INFO     | Backtester           |     ✗ Sharpe ≥ 1.0 (0.00)
2026-04-04 16:08:18 | INFO     | Backtester           |     ✗ Win Rate ≥ 50% (0.0%)
2026-04-04 16:08:18 | INFO     | Backtester           |     ✗ Profit Factor ≥ 1.5 (0.00)
2026-04-04 16:08:18 | INFO     | Backtester           | ============================================================
2026-04-04 16:08:18 | INFO     | Backtester           | Résultats sauvegardés : results/AAPL_backtest.json
